ticker,company,gics_sector,industry,sa_quant,sa_score,val,growth,profit,mom,rev,sources,mcap_b,adv_m,alpaca_tradable
MU,Micron Technology; Inc.,Information Technology,,STRONG BUY,4.99,,,,,,screener:top-rated-all|screener:technology|summary:round1,1091.87,34550.8,True
SNDK,Sandisk Corporation,Information Technology,,STRONG BUY,4.99,,,,,,screener:top-rated-all|screener:technology|summary:round1,233.7,23481.9,True
HPE,Hewlett Packard Enterprise Company,Information Technology,,STRONG BUY,4.99,,,,,,screener:technology|summary:round1,70.78,870.7,True
LNVGY,Lenovo Group Limited,Information Technology,,STRONG BUY,4.99,,,,,,screener:technology,47.73,24.6,True
INTC,Intel Corporation,Information Technology,,STRONG BUY,4.98,,,,,,screener:technology|summary:round1,473.28,10889.4,True
STX,Seagate Technology Holdings plc,Information Technology,,STRONG BUY,4.98,,,,,,screener:technology|analysis|summary:round1,192.65,4444.8,True
PBF,PBF Energy Inc.,Energy,,STRONG BUY,4.98,,,,,,screener:energy,8.72,222.7,True
AMD,Advanced Micro Devices; Inc.,Information Technology,,STRONG BUY,4.97,,,,,,screener:technology|summary:round1,772.57,12802.8,True
OSCR,Oscar Health; Inc.,Financials,,STRONG BUY,4.97,,,,,,screener:financials,9.89,180.0,True
MXL,MaxLinear; Inc.,Information Technology,,STRONG BUY,4.97,,,,,,screener:technology,6.04,198.6,True
WDC,Western Digital Corporation,Information Technology,,STRONG BUY,4.97,,,,,,screener:technology|summary:round1,165.65,4157.8,True
AMZN,Amazon.com; Inc.,Consumer Discretionary,,STRONG BUY,4.96,,,,,,screener:consumer-disc|analysis|summary:round1,2789.66,12559.4,True
MPC,Marathon Petroleum Corporation,Energy,,STRONG BUY,4.96,,,,,,screener:energy,101.3,798.5,True
CHYM,Chime Financial; Inc.,Financials,,STRONG BUY,4.96,,,,,,screener:financials,12.41,290.0,True
U,Unity Software Inc.,Information Technology,,STRONG BUY,4.96,,,,,,screener:technology,20.65,524.8,True
VLO,Valero Energy Corporation,Energy,"Oil and Gas Refining and Marketing Ran"",",STRONG BUY,4.95,D,A,A+,A+,A-,screener:energy|summary:grok,100.45,816.9,True
BAC,Bank of America Corporation,Financials,,STRONG BUY,4.95,,,,,,screener:financials,431.38,1751.3,True
CNC,Centene Corporation,Health Care,"Managed Health Care Ranked Over"",",STRONG BUY,4.94,A+,A+,A+,A-,A-,screener:top-rated-all|screener:healthcare|summary:grok|analysis,32.12,318.5,True
NBIS,Nebius Group N.V.,Information Technology,,STRONG BUY,4.94,,,,,,screener:technology|summary:round1,59.57,6243.1,True
PSX,Phillips 66,Energy,,STRONG BUY,4.94,,,,,,screener:energy,96.91,608.9,True
CORT,Corcept Therapeutics Incorporated,Health Care,,STRONG BUY,4.94,,,,,,screener:healthcare,13.22,129.1,True
TXG,10x Genomics; Inc.,Health Care,,STRONG BUY,4.94,,,,,,screener:healthcare,8.48,169.0,True
VSXY,Victoria's Secret & Co.,Consumer Discretionary,,STRONG BUY,4.93,,,,,,screener:consumer-disc,6.79,140.1,True
SIMO,Silicon Motion Technology Corporation,Information Technology,,STRONG BUY,4.93,,,,,,screener:technology,8.76,347.6,True
EAT,Brinker International; Inc.,Consumer Discretionary,,STRONG BUY,4.92,,,,,,screener:consumer-disc,10.55,252.0,True
ALAB,Astera Labs; Inc.,Information Technology,,STRONG BUY,4.91,,,,,,screener:technology|summary:round1,49.44,1474.0,True
NIQ,NIQ Global Intelligence plc,Communication Services,,STRONG BUY,4.91,,,,,,screener:communication,5.54,30.4,True
ANET,Arista Networks; Inc.,Information Technology,,STRONG BUY,4.9,,,,,,screener:technology|summary:round1,237.93,1539.9,True
ASX,ASE Technology Holding Co.; Ltd.,Information Technology,,STRONG BUY,4.9,,,,,,screener:technology,95.06,305.4,True
OKTA,Okta; Inc.,Information Technology,,STRONG BUY,4.9,,,,,,screener:technology,23.49,363.8,True
F,Ford Motor Company,Consumer Discretionary,,STRONG BUY,4.89,,,,,,screener:top-rated-all|screener:consumer-disc|analysis,57.46,691.0,True
